Video ID,Playlist Video Creation Timestamp
GjqtRFPdwOI,2012-03-26T08:14:12+00:00
gaUxs3fdy1U,2012-03-26T08:14:12+00:00
CT6TXHAQPEY,2012-03-26T08:14:12+00:00
3Lb_jho2Gmg,2012-03-26T08:14:12+00:00
nZ3KBJI8ZJU,2012-03-26T08:14:12+00:00
UeY42djaKek,2012-03-26T08:14:12+00:00
eGURvtiwAsU,2012-03-26T08:14:12+00:00
0AHDTB43Ucg,2012-03-26T08:14:12+00:00
vZjCUqPYbQo,2012-03-26T08:14:12+00:00
Vs0qmsHAzqo,2012-03-26T08:14:12+00:00
bbvR0tphyOE,2012-03-26T08:14:12+00:00
bbvR0tphyOE,2012-03-26T08:14:12+00:00
TCNq62OerDI,2012-03-26T08:14:12+00:00
 -lQtuxb8kOg,2012-03-26T08:14:12+00:00
grex0lFfqQE,2012-03-26T08:14:12+00:00
RVh9Ao4Ybys,2012-03-26T08:14:12+00:00
5U6LRGzlgc8,2012-03-26T08:14:12+00:00
kgOADpHBzbc,2012-03-26T08:14:12+00:00
pK8UJT7E4dE,2012-03-26T08:14:12+00:00
fNHINiVTb-U,2012-03-26T08:14:12+00:00
s7HZnoKQRwU,2012-03-26T08:14:12+00:00
b-YuhiBLlpc,2012-03-26T08:14:12+00:00
XlQWWSgtjgs,2012-03-26T08:14:12+00:00
WttMxd5zC7A,2012-03-26T08:14:12+00:00
nXcilT3c4ew,2012-03-26T08:14:12+00:00
Y_hDoo4MAd0,2012-03-26T08:14:12+00:00
WOcdGligNSk,2012-03-26T08:14:12+00:00
bkP-j5qxMDA,2012-03-26T08:14:12+00:00
iBjRYPppguI,2012-03-26T08:14:12+00:00
FDpVtfOHAv4,2012-03-26T08:14:12+00:00
Vyp-kCk-bqw,2012-03-26T08:14:12+00:00
TQlD0HjS9E0,2012-03-26T08:14:12+00:00
hq2nXisJAO0,2012-03-26T08:14:12+00:00
MVs4eWtm2RA,2012-03-26T08:14:12+00:00
ubpkY9Q_dzg,2012-03-26T08:14:12+00:00
zE0sErGTAbE,2012-03-26T08:14:12+00:00
19tMwkdNGi4,2012-03-26T08:14:12+00:00
bOCA5S_qu6M,2012-03-26T08:14:12+00:00
bsvY4XZFRJQ,2012-03-26T08:14:12+00:00
7L8Go0ipKSM,2012-03-26T08:14:12+00:00
EM2eisLpF8k,2012-03-26T08:14:12+00:00
3xTt1EBRdpM,2012-03-26T08:14:12+00:00
dcGg9K4lgc0,2012-03-26T08:14:12+00:00
LOjBun5LYcc,2012-03-26T08:14:12+00:00
ZGAcP_cIMpQ,2012-03-26T08:14:12+00:00
yBAMIbTWOWg,2012-03-26T08:14:12+00:00
xM-hTrIeIu4,2012-03-26T08:14:12+00:00
_raPPtxv8LU,2012-03-26T08:14:12+00:00
_raPPtxv8LU,2012-03-26T08:14:12+00:00
