Channel Id,Channel Url,Channel Title
UCVGHs86ZELhWPeO2wFhym7A,http://www.youtube.com/channel/UCVGHs86ZELhWPeO2wFhym7A,Thinkpiece Tribe
UCVo63lbKHjC04KqYhwSZ_Pg,http://www.youtube.com/channel/UCVo63lbKHjC04KqYhwSZ_Pg,Defunctland
UCW6o9nlu8Exet640T5a2BOw,http://www.youtube.com/channel/UCW6o9nlu8Exet640T5a2BOw,HDContentdump03
UCWTFGPpNQ0Ms6afXhaWDiRw,http://www.youtube.com/channel/UCWTFGPpNQ0Ms6afXhaWDiRw,Now You See It
UCX6b17PVsYBQ0ip5gyeme-Q,http://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse
UCXGecfdP4LZs8BMSytOJJqA,http://www.youtube.com/channel/UCXGecfdP4LZs8BMSytOJJqA,Opie Radio
UCYUZ0gWRp_HQCVEz0OovuAg,http://www.youtube.com/channel/UCYUZ0gWRp_HQCVEz0OovuAg,Matt Orchard - Crime and Society
UCYwVxWpjeKFWwu8TML-Te9A,http://www.youtube.com/channel/UCYwVxWpjeKFWwu8TML-Te9A,JCS - Criminal Psychology
UCaN8DZdc8EHo5y1LsQWMiig,http://www.youtube.com/channel/UCaN8DZdc8EHo5y1LsQWMiig,Big Joel
UCb3cDvWiHwRzQaK81PrISbg,http://www.youtube.com/channel/UCb3cDvWiHwRzQaK81PrISbg,Leeja Miller
UCbRP3c757lWg9M-U7TyEkXA,http://www.youtube.com/channel/UCbRP3c757lWg9M-U7TyEkXA,Theo - t3․gg
UCbbsW7_Esx8QZ8PgJ13pGxw,http://www.youtube.com/channel/UCbbsW7_Esx8QZ8PgJ13pGxw,We're In Hell
UCc-0YpRpqgA5lPTpSQ5uo-Q,http://www.youtube.com/channel/UCc-0YpRpqgA5lPTpSQ5uo-Q,Audit the Audit
UCdDkCZx_lD9-K0YK5YYIUag,http://www.youtube.com/channel/UCdDkCZx_lD9-K0YK5YYIUag,K.Flay
UCeDKIj0G5XbultKOQnacu_w,http://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w,José
UCeTfBygNb1TahcNpZyELO8g,http://www.youtube.com/channel/UCeTfBygNb1TahcNpZyELO8g,Jacob Geller
UChnxLLvzviaR5NeKOevB8iQ,http://www.youtube.com/channel/UChnxLLvzviaR5NeKOevB8iQ,Red Means Recording
UCiPavLqvIE5-AwFrUGuMYyw,http://www.youtube.com/channel/UCiPavLqvIE5-AwFrUGuMYyw,Shkreli Planet
UCiZJcN2gj2_BviCdVl7mv2w,http://www.youtube.com/channel/UCiZJcN2gj2_BviCdVl7mv2w,Feed Nana Media
UCimiUgDLbi6P17BdaCZpVbg,http://www.youtube.com/channel/UCimiUgDLbi6P17BdaCZpVbg,exurb1a
UCjNxszyFPasDdRoD9J6X-sw,http://www.youtube.com/channel/UCjNxszyFPasDdRoD9J6X-sw,INTO THE FRAY
UCjz2Rt-j4-KuCe_F9ieWnAg,http://www.youtube.com/channel/UCjz2Rt-j4-KuCe_F9ieWnAg,James Adomian
UCk8EYeANNNa5sUfDK2Ueg7Q,http://www.youtube.com/channel/UCk8EYeANNNa5sUfDK2Ueg7Q,Hasanabi Time
UCl3rmxMy3jve258MWakVXeA,http://www.youtube.com/channel/UCl3rmxMy3jve258MWakVXeA,The Amateur
UCmYesELO6axBrCuSpf7S9DQ,http://www.youtube.com/channel/UCmYesELO6axBrCuSpf7S9DQ,Mr. Beat
UCn8zNIfYAQNdrFRrr8oibKw,http://www.youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,VICE
UCnhkK3mHzGUTu-yXfmerRmw,http://www.youtube.com/channel/UCnhkK3mHzGUTu-yXfmerRmw,Julian Dorey Daily
UCnxQ8o9RpqxGF2oLHcCn9VQ,http://www.youtube.com/channel/UCnxQ8o9RpqxGF2oLHcCn9VQ,fantano
UCokqzNPBJ65raczldVuHAww,http://www.youtube.com/channel/UCokqzNPBJ65raczldVuHAww,Chapo Trap House
UCpa-Zb0ZcQjTCPP1Dx_1M8Q,http://www.youtube.com/channel/UCpa-Zb0ZcQjTCPP1Dx_1M8Q,LegalEagle
UCqU_vPg5x9rULpjxunpW-vg,http://www.youtube.com/channel/UCqU_vPg5x9rULpjxunpW-vg,Acid Marxist
UCqsq-k2LLwJ-UM77pLrEbHw,http://www.youtube.com/channel/UCqsq-k2LLwJ-UM77pLrEbHw,Daily Dose of HasanAbi
UCrH_7K2seB3TfrX9JA05tbA,http://www.youtube.com/channel/UCrH_7K2seB3TfrX9JA05tbA,charliezzz
UCrXaZi70VczA34AotejlH1A,http://www.youtube.com/channel/UCrXaZi70VczA34AotejlH1A,Dan Frank
